                                                                              
FECHA    | PRODUCTO  |    MARCA    |  VENTA   | COMPRA |CANT| DISTRIBUIDOR     
-----------------------------------------------------------------------       
05062023   Impresora    SmartLine     729.13    402.36   75   Distribuidor B  
22072020   Laptop       TechBrand     903.87    745.62   18   Distribuidor E  
27062020   Impresora    SmartLine     487.45    290.16   34   Distribuidor D  
12102020   Router       ElectroCorp   441.68    273.28    6   Distribuidor A  
07032022   Teclado      DataWare      129.21     99.95   97   Distribuidor E  
01122022   Memoria USB  NextGen       166.99     99.86   97   Distribuidor D  
05012022   Impresora    GigaStore     175.26     91.24   98   Distribuidor E  
09022020   Mouse        ElectroCorp   883.70    649.29   81   Distribuidor D  
01032020   Smartphone   ProTech       928.33    816.26   52   Distribuidor A  
19112022   Teclado      SmartLine     574.67    515.58   37   Distribuidor D  
05072020   Router       NextGen       756.35    408.09   46   Distribuidor C  
21122021   Smartphone   DataWare      889.08    546.63   29   Distribuidor B  
28032020   Monitor      TechBrand     842.77    548.61   50   Distribuidor D  
16022021   Impresora    CompuPlus     310.70    216.30   99   Distribuidor A  
16092020   Router       CompuPlus     180.23    124.54   26   Distribuidor D  
23122022   Memoria USB  DataWare      423.18    325.84   79   Distribuidor B  
08072021   Router       GigaStore     903.06    515.42   24   Distribuidor C  
24112020   Smartphone   CompuPlus     444.58    357.71   58   Distribuidor D  
07012022   Memoria USB  DataWare      710.40    599.09   52   Distribuidor C  
05022022   Teclado      DataWare      284.37    169.88   10   Distribuidor C  
05062023   Impresora    SmartLine     729.13    402.36   75   Distribuidor B  
22072020   Laptop       TechBrand     903.87    745.62   18   Distribuidor E  
27062020   Impresora    SmartLine     487.45    290.16   34   Distribuidor D  
12102020   Router       ElectroCorp   441.68    273.28    6   Distribuidor A  
07032022   Teclado      DataWare      129.21     99.95   97   Distribuidor E  
01122022   Memoria USB  NextGen       166.99     99.86   97   Distribuidor D  
05012022   Impresora    GigaStore     175.26     91.24   98   Distribuidor E  
09022020   Mouse        ElectroCorp   883.70    649.29   81   Distribuidor D  
01032020   Smartphone   ProTech       928.33    816.26   52   Distribuidor A  
19112022   Teclado      SmartLine     574.67    515.58   37   Distribuidor D  
05072020   Router       NextGen       756.35    408.09   46   Distribuidor C  
21122021   Smartphone   DataWare      889.08    546.63   29   Distribuidor B  
28032020   Monitor      TechBrand     842.77    548.61   50   Distribuidor D  
16022021   Impresora    CompuPlus     310.70    216.35   99   Distribuidor A  
16092020   Router       CompuPlus     180.23    124.54   26   Distribuidor D  
23122022   Memoria USB  DataWare      423.18    325.84   79   Distribuidor B  
08072021   Router       GigaStore     903.06    515.42   24   Distribuidor C  
24112020   Smartphone   CompuPlus     444.58    357.71   58   Distribuidor D  
07012022   Memoria USB  DataWare      710.40    599.09   52   Distribuidor C  
05022022   Teclado      DataWare      284.37    169.88   10   Distribuidor C  
15052023   Monitor      VisionPro    1023.50    750.60   32   Distribuidor G  
26062021   Smartphone   NovaTech      799.99    699.99   45   Distribuidor J  
15062023   Impresora    PrintMaster   432.10    312.75   68   Distribuidor A  
24052021   Laptop       SuperTech    1135.45    978.22   24   Distribuidor B  
05082021   Teclado      KeyWorks      129.85     89.4   118   Distribuidor C  
22052022   Router       NetPro        256.37    168.29   51   Distribuidor D  
